Locus	Gene	Start	Length	Product	Allele Count	File
KP1_RS00005		280	441	FMN-binding protein MioC	329	KP1_RS00005.fasta
KP1_RS00010		820	459	transcriptional regulator AsnC	234	KP1_RS00010.fasta
KP1_RS00015		1430	993	asparagine synthetase A	561	KP1_RS00015.fasta
KP1_RS00020		2426	1449	protoheme IX farnesyltransferase	943	KP1_RS00020.fasta
KP1_RS00025		3871	1500	ATPase RavA	897	KP1_RS00025.fasta
KP1_RS00035		7642	420	D-ribose pyranase	246	KP1_RS00035.fasta
KP1_RS00040		8072	1506	ribose ABC transporter ATP-binding protein RbsA	898	KP1_RS00040.fasta
KP1_RS00045		9583	966	ribose ABC transporter permease	501	KP1_RS00045.fasta
KP1_RS00050		10576	891	D-ribose ABC transporter substrate-binding protein	423	KP1_RS00050.fasta
KP1_RS00055		11570	930	ribokinase	623	KP1_RS00055.fasta
KP1_RS00060		12512	984	transcriptional regulator RbsR	497	KP1_RS00060.fasta
KP1_RS00065		13492	1398	MFS transporter	771	KP1_RS00065.fasta
KP1_RS00070		14902	702	GntR family transcriptional regulator	358	KP1_RS00070.fasta
KP1_RS00105		22526	270	hypothetical protein	138	KP1_RS00105.fasta
KP1_RS00115		23687	624	thiol-disulfide isomerase	239	KP1_RS00115.fasta
KP1_RS00120		24358	900	acyltransferase	488	KP1_RS00120.fasta
KP1_RS00125		25654	2793	DNA polymerase I	1304	KP1_RS00125.fasta
KP1_RS00135		30010	507	GTPase-activating protein	244	KP1_RS00135.fasta
KP1_RS00140		30705	1374	oxygen-independent coproporphyrinogen III oxidase	796	KP1_RS00140.fasta
KP1_RS00145		32335	1410	nitrogen regulation protein NR(I)	776	KP1_RS00145.fasta
KP1_RS00150		33753	1050	two-component system sensor histidine kinase NtrB	514	KP1_RS00150.fasta
KP1_RS00155		34991	1410	glutamine synthetase	592	KP1_RS00155.fasta
KP1_RS00160		36457	162	hypothetical protein	159	KP1_RS00160.fasta
KP1_RS00165		36779	1824	GTP-binding protein	948	KP1_RS00165.fasta
KP1_RS00175		39331	861	membrane protein	477	KP1_RS00175.fasta
KP1_RS00180		40188	438	D-aminoacyl-tRNA deacylase	239	KP1_RS00180.fasta
KP1_RS00185		40670	942	GNAT family N-acetyltransferase	529	KP1_RS00185.fasta
KP1_RS00205		43546	930	formate dehydrogenase accessory protein FdhE	562	KP1_RS00205.fasta
KP1_RS00210		44472	636	formate dehydrogenase cytochrome b556 subunit	322	KP1_RS00210.fasta
KP1_RS00215		45104	903	formate dehydrogenase subunit beta	515	KP1_RS00215.fasta
KP1_RS00220		46019	2415	formate dehydrogenase-N subunit alpha	1267	KP1_RS00220.fasta
KP1_RS00225		48482	588	sulfate ABC transporter substrate-binding protein	228	KP1_RS00225.fasta
KP1_RS00235		50191	213	hypothetical protein	193	KP1_RS00235.fasta
KP1_RS00275		55663	324	branched-chain amino acid transport	286	KP1_RS00275.fasta
KP1_RS00285		56745	549	DNA-binding protein	356	KP1_RS00285.fasta
KP1_RS00300	lacY	60657	1266	MFS transporter	915	KP1_RS00300.fasta
KP1_RS00310		62271	1149	lactaldehyde reductase	956	KP1_RS00310.fasta
KP1_RS00320		64510	1005	branched-chain amino acid ABC transporter permease	899	KP1_RS00320.fasta
KP1_RS00325		65514	1512	sugar ABC transporter	1160	KP1_RS00325.fasta
KP1_RS00330		67171	987	rhamnose ABC transporter substrate-binding protein	696	KP1_RS00330.fasta
KP1_RS00340		69219	1260	L-rhamnose isomerase	951	KP1_RS00340.fasta
KP1_RS00345		70475	1467	rhamnulokinase	1006	KP1_RS00345.fasta
KP1_RS00350		72252	837	transcriptional activator RhaS	636	KP1_RS00350.fasta
KP1_RS00355		73162	846	HTH-type transcriptional activator RhaR	586	KP1_RS00355.fasta
KP1_RS00360		74040	1035	sugar:proton symporter	681	KP1_RS00360.fasta
KP1_RS00365		75364	621	superoxide dismutase	417	KP1_RS00365.fasta
KP1_RS00370		76057	675	6-N-hydroxylaminopurine resistance protein	571	KP1_RS00370.fasta
KP1_RS00375		76799	1374	two-component system sensor histidine kinase CpxA	1067	KP1_RS00375.fasta
KP1_RS00380		78169	699	DNA-binding response regulator	320	KP1_RS00380.fasta
KP1_RS00385	cpxP	79017	504	repressor CpxP	292	KP1_RS00385.fasta
KP1_RS00390		79679	903	cation-efflux pump FieF	451	KP1_RS00390.fasta
KP1_RS00395		80778	963	ATP-dependent 6-phosphofructokinase	478	KP1_RS00395.fasta
KP1_RS00400		81802	486	ribonuclease E activity regulator RraA	193	KP1_RS00400.fasta
KP1_RS00405		82380	921	"1,4-dihydroxy-2-naphthoate polyprenyltransferase"	598	KP1_RS00405.fasta
KP1_RS00410		83370	1335	ATP-dependent protease ATP-binding subunit HslU	796	KP1_RS00410.fasta
KP1_RS00415		84714	531	HslU--HslV peptidase proteolytic subunit	200	KP1_RS00415.fasta
KP1_RS00425		86398	1029	DNA-binding transcriptional regulator CytR	541	KP1_RS00425.fasta
KP1_RS00435		87577	2196	primosomal protein N'	1142	KP1_RS00435.fasta
KP1_RS00440		90025	213	50S ribosomal protein L31	47	KP1_RS00440.fasta
KP1_RS00445		90339	318	met repressor	157	KP1_RS00445.fasta
KP1_RS00450		90924	1161	cystathionine gamma-synthase	531	KP1_RS00450.fasta
KP1_RS00455		92087	2433	bifunctional aspartokinase II/homoserine dehydrogenase II	1221	KP1_RS00455.fasta
KP1_RS00470		97363	372	4-carboxymuconolactone decarboxylase	266	KP1_RS00470.fasta
KP1_RS00480		98963	888	"5,10-methylenetetrahydrofolate reductase"	420	KP1_RS00480.fasta
KP1_RS00490	gldA	100940	1104	glycerol dehydrogenase	785	KP1_RS00490.fasta
KP1_RS00495		102098	663	fructose-6-phosphate aldolase	474	KP1_RS00495.fasta
KP1_RS00500		102966	864	AraC family transcriptional regulator	668	KP1_RS00500.fasta
KP1_RS00505		103977	651	metal-binding protein ZinT	438	KP1_RS00505.fasta
KP1_RS00515		107581	1152	acetylornithine deacetylase	745	KP1_RS00515.fasta
KP1_RS00520		108846	1005	N-acetyl-gamma-glutamyl-phosphate reductase	517	KP1_RS00520.fasta
KP1_RS00525		109860	774	acetylglutamate kinase	527	KP1_RS00525.fasta
KP1_RS00530		110733	1374	argininosuccinate lyase	860	KP1_RS00530.fasta
KP1_RS00540		113265	1401	soluble pyridine nucleotide transhydrogenase	660	KP1_RS00540.fasta
KP1_RS00545		114862	636	DNA-binding transcriptional regulator FabR	235	KP1_RS00545.fasta
KP1_RS00550		115513	360	membrane protein	159	KP1_RS00550.fasta
KP1_RS00555		115924	1101	tRNA (uridine(54)-C5)-methyltransferase TrmA	684	KP1_RS00555.fasta
KP1_RS00610		126825	339	hypothetical protein	123	KP1_RS00610.fasta
KP1_RS00620		128911	132	hypothetical protein	109	KP1_RS00620.fasta
KP1_RS00625		129302	1647	acetolactate synthase 2 catalytic subunit	861	KP1_RS00625.fasta
KP1_RS00630	ilvM	130945	258	acetolactate synthase	107	KP1_RS00630.fasta
KP1_RS00635		131219	930	branched chain amino acid aminotransferase	477	KP1_RS00635.fasta
KP1_RS00640		132209	1851	dihydroxy-acid dehydratase	1012	KP1_RS00640.fasta
KP1_RS00645		134062	1545	PLP-dependent threonine dehydratase	996	KP1_RS00645.fasta
KP1_RS00650		135603	891	transcriptional regulator IlvY	498	KP1_RS00650.fasta
KP1_RS00670		139052	2022	ATP-dependent DNA helicase Rep	1105	KP1_RS00670.fasta
KP1_RS00695		145565	1266	ATP-dependent RNA helicase RhlB	728	KP1_RS00695.fasta
KP1_RS00700		147172	330	thiol reductase thioredoxin	166	KP1_RS00700.fasta
KP1_RS00705		147832	1260	transcription termination factor Rho	629	KP1_RS00705.fasta
KP1_RS00710		149332	1104	undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase	462	KP1_RS00710.fasta
