Locus	Gene	Start	Length	Product	Allele Count	Alleles
AEJV0103887		1	204		3	AEJV01_03887.fasta
NCTC1213000627		1	660		801	NCTC12130_00627.fasta
b0001	thrL	190	66	thr operon leader peptide	94	b0001.fasta
b0002	thrA	337	2463	Bifunctional aspartokinase/homoserine dehydrogenase 1	2725	b0002.fasta
b0003	thrB	2801	933	homoserine kinase	1155	b0003.fasta
b0004	thrC	3734	1287	L-threonine synthase	1628	b0004.fasta
b0005	yaaX	5234	297	DUF2502 family putative periplasmic protein	449	b0005.fasta
b0006	yaaA	5683	777	peroxide resistance protein, lowers intracellular iron	1118	b0006.fasta
b0008	talB	8238	954	transaldolase B	1306	b0008.fasta
b0009	mog	9306	588	molybdochelatase incorporating molybdenum into molybdopterin	749	b0009.fasta
b0010	satP	9928	567	succinate-acetate transporter	814	b0010.fasta
b0011	yaaW	10643	714	UPF0174 family protein	1097	b0011.fasta
b0013	yaaI	11382	405	UPF0412 family protein	639	b0013.fasta
b0014	dnaK	12163	1917	chaperone Hsp70, with co-chaperone DnaJ	2179	b0014.fasta
b0015	dnaJ	14168	1131	chaperone Hsp40, DnaK co-chaperone	1513	b0015.fasta
b0018	mokC	16751	210	regulatory protein for HokC, overlaps CDS of hokC	310	b0018.fasta
b0019	nhaA	17489	1167	sodium-proton antiporter	1263	b0019.fasta
b0020	nhaR	18715	906	transcriptional activator of nhaA	784	b0020.fasta
b0023	rpsT	20815	264	30S ribosomal subunit protein S20	194	b0023.fasta
b0024	yaaY	21181	219	uncharacterized protein	271	b0024.fasta
b0025	ribF	21407	942	bifunctional riboflavin kinase/FAD synthetase	1156	b0025.fasta
b0026	ileS	22391	2817	isoleucyl-tRNA synthetase	2868	b0026.fasta
b0027	lspA	25207	495	prolipoprotein signal peptidase (signal peptidase II)	537	b0027.fasta
b0028	fkpB	25826	450	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	779	b0028.fasta
b0029	ispH	26277	951	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein	1357	b0029.fasta
b0030	rihC	27293	915	ribonucleoside hydrolase 3	1584	b0030.fasta
b0031	dapB	28374	822	dihydrodipicolinate reductase	1455	b0031.fasta
b0032	carA	29651	1149	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	1645	b0032.fasta
b0033	carB	30817	3222	carbamoyl-phosphate synthase large subunit	3093	b0033.fasta
b0034	caiF	34300	396	cai operon transcriptional activator	487	b0034.fasta
b0035	caiE	34781	591	stimulator of CaiD and CaiB enzyme activities	930	b0035.fasta
b0036	caiD	35377	786	carnitinyl-CoA dehydratase	1230	b0036.fasta
b0037	caiC	36271	1554	putative crotonobetaine/carnitine-CoA ligase	2069	b0037.fasta
b0039	caiA	39244	1143	crotonobetaine reductase subunit II, FAD-binding	1424	b0039.fasta
b0040	caiT	40417	1515	putative transporter	1951	b0040.fasta
b0041	fixA	42403	771	anaerobic carnitine reduction putative electron transfer flavoprotein subunit	1063	b0041.fasta
b0042	fixB	43188	942	putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein	1406	b0042.fasta
b0043	fixC	44180	1287	putative oxidoreductase	1744	b0043.fasta
b0044	fixX	45463	288	putative 4Fe-4S ferredoxin-type protein	457	b0044.fasta
b0046	kefF	47246	531	potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent	966	b0046.fasta
b0047	kefC	47769	1863	potassium:proton antiporter	2480	b0047.fasta
b0048	folA	49823	480	dihydrofolate reductase	917	b0048.fasta
b0050	apaG	51229	378	protein associated with Co2+ and Mg2+ efflux	461	b0050.fasta
b0051	rsmA	51609	822	16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent	1046	b0051.fasta
b0052	pdxA	52427	990	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	1322	b0052.fasta
b0053	surA	53416	1287	peptidyl-prolyl cis-trans isomerase (PPIase)	1549	b0053.fasta
b0054	lptD	54755	2355	LPS assembly OM complex LptDE, beta-barrel component	2481	b0054.fasta
b0055	djlA	57364	816	membrane-anchored DnaK co-chaperone, DNA-binding protein	1028	b0055.fasta
b0058	rluA	59687	660	dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent	1010	b0058.fasta
b0059	rapA	60358	2907	RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase	3021	b0059.fasta
b0060	polB	63429	2352	DNA polymerase II	2953	b0060.fasta
b0062	araA	66835	1503	L-arabinose isomerase	1779	b0062.fasta
b0063	araB	68348	1701	L-ribulokinase	1868	b0063.fasta
b0065	yabI	71351	765	DedA family inner membrane protein	1091	b0065.fasta
b0066	thiQ	72229	699	thiamine/thiamine pyrophosphate ABC transporter ATPase	1029	b0066.fasta
b0067	thiP	72911	1611	thiamine/thiamine pyrophosphate ABC transporter permease	2342	b0067.fasta
b0068	thiB	74497	984	thiamine/thiamine pyrophosphate/thiamine monophosphate ABC transporter periplasmic binding protein	1504	b0068.fasta
NCTC1212900311		75284	2403	maltodextrin phosphorylase	2349	NCTC12129_00311.fasta
b0071	leuD	78848	606	3-isopropylmalate dehydratase small subunit	1002	b0071.fasta
b0072	leuC	79464	1401	3-isopropylmalate dehydratase large subunit	1810	b0072.fasta
